brand_name,serise_name,score,level,struct,EngineORbattery,SpeedchunkORcharge,type,price,status,url
九龙,考斯特,暂无,轻客,客车 ,2.7L 2.8T ,手动 ,燃油汽车,23.98-32.98万,停售,https://car.autohome.com.cn/price/series-3194-0-3.html#pvareaid=2042206
九龙,九龙EM3,暂无,微面,250-385公里,41马力,"快充2.5小时,慢充13小时",新能源,8.58-10.18万,在售,https://car.autohome.com.cn/price/series-5016.html#pvareaid=2042206
九龙,九龙C6,暂无,轻客,客车 ,2.0T 3.0T ,手动 ,燃油汽车,26.48-28.68万,在售,https://car.autohome.com.cn/price/series-4860.html#pvareaid=2042206
九龙,九龙EW5,暂无,轻客,无,136马力,快充0.5小时,新能源,18.88万,在售,https://car.autohome.com.cn/price/series-6315.html#pvareaid=2042206
九龙,九龙W5,暂无,轻客,货车 ,2.4T ,手动 ,燃油汽车,14.58万,在售,https://car.autohome.com.cn/price/series-6314.html#pvareaid=2042206
君马汽车,君马MEET 3(美图3),暂无,紧凑型SUV,SUV ,1.5T ,无级 手动 ,燃油汽车,7.19-11.89万,停售,https://car.autohome.com.cn/price/series-4555-0-3.html#pvareaid=2042206
君马汽车,君马S70,暂无,中型SUV,SUV ,1.5T ,手动 手自一体 ,燃油汽车,8.19-11.59万,停售,https://car.autohome.com.cn/price/series-4519-0-3.html#pvareaid=2042206
君马汽车,君马SEEK 5(赛克5),暂无,中型SUV,SUV ,1.5T 1.8L ,手动 手自一体 ,燃油汽车,7.79-12.89万,停售,https://car.autohome.com.cn/price/series-4696-0-3.html#pvareaid=2042206
钧天,勇猛者,暂无,大型SUV,SUV ,3.5T ,手自一体 ,燃油汽车,77.80-118.00万,停售,https://car.autohome.com.cn/price/series-5099-0-3.html#pvareaid=2042206
Karma,Revero,暂无,中大型车,无,无,无,燃油汽车,178.00-218.00万,在售,https://car.autohome.com.cn/price/series-5053.html#pvareaid=2042206
KTM,X-BOW,暂无,跑车,软顶敞篷车 ,2.0T ,湿式双离合 手动 ,燃油汽车,139.80万,停售,https://car.autohome.com.cn/price/series-911-0-3.html#pvareaid=2042206
卡尔森,卡尔森 CCA22,暂无,紧凑型车,三厢 ,2.0T ,湿式双离合 ,燃油汽车,36.80万,停售,https://car.autohome.com.cn/price/series-4912-0-3.html#pvareaid=2042206
卡尔森,卡尔森 S级,暂无,大型车,三厢 ,3.0T 5.5T ,手自一体 ,燃油汽车,126.88-358.80万,停售,https://car.autohome.com.cn/price/series-2611-0-3.html#pvareaid=2042206
卡尔森,卡尔森 GL级,暂无,大型SUV,SUV ,4.7L ,手自一体 ,燃油汽车,188.00-248.80万,停售,https://car.autohome.com.cn/price/series-2610-0-3.html#pvareaid=2042206
卡升,卡升V-Class,暂无,中大型MPV,MPV ,2.0T ,手自一体 ,燃油汽车,118.80万,停售,https://car.autohome.com.cn/price/series-4448-0-3.html#pvareaid=2042206
卡升,卡升威霆,暂无,中大型MPV,MPV ,2.0T 3.0L ,手自一体 ,燃油汽车,78.80-97.80万,停售,https://car.autohome.com.cn/price/series-3655-0-3.html#pvareaid=2042206
卡升,卡升C10,暂无,大型MPV,MPV ,3.5L ,手自一体 ,燃油汽车,128.00-148.00万,停售,https://car.autohome.com.cn/price/series-3656-0-3.html#pvareaid=2042206
卡升,卡升T6,暂无,大型MPV,MPV ,2.0T ,湿式双离合 ,燃油汽车,82.80万,停售,https://car.autohome.com.cn/price/series-4447-0-3.html#pvareaid=2042206
卡威,卡威EV1,暂无,紧凑型SUV,250公里,109马力,"快充1小时,慢充8小时",新能源,26.80万,停售,https://car.autohome.com.cn/price/series-4482-0-3.html#pvareaid=2042206
卡威,卡威SUV,暂无,紧凑型SUV,SUV ,2.0L 2.4L ,手动 ,燃油汽车,8.98-12.58万,停售,https://car.autohome.com.cn/price/series-3409-0-3.html#pvareaid=2042206
卡威,卡威W1,暂无,紧凑型SUV,SUV ,2.0L 2.4L ,手动 自动 ,燃油汽车,9.48-10.33万,停售,https://car.autohome.com.cn/price/series-3511-0-3.html#pvareaid=2042206
卡威,路易斯,暂无,紧凑型SUV,SUV ,2.0T ,手动 自动 ,燃油汽车,7.98-11.28万,停售,https://car.autohome.com.cn/price/series-4563-0-3.html#pvareaid=2042206
卡威,卡威K1,暂无,皮卡,皮卡 ,2.4L 2.8T 3.2T ,手动 ,燃油汽车,7.58-12.78万,停售,https://car.autohome.com.cn/price/series-3360-0-3.html#pvareaid=2042206
卡威,卡威K150,暂无,皮卡,皮卡 ,1.9T 2.0T 2.4L ...,手动 自动 ,燃油汽车,9.38-12.98万,停售,https://car.autohome.com.cn/price/series-4172-0-3.html#pvareaid=2042206
卡威,卡威K150GT,暂无,皮卡,皮卡 ,1.9T 2.0T ,手动 自动 ,燃油汽车,9.78-13.58万,停售,https://car.autohome.com.cn/price/series-4557-0-3.html#pvareaid=2042206
开瑞,开瑞K60,4.29,紧凑型SUV,SUV ,1.5L 1.5T ,自动 手动 ,燃油汽车,4.99-8.18万,停售,https://car.autohome.com.cn/price/series-4039-0-3.html#pvareaid=2042206
开瑞,海豚EV,暂无,微面,271公里,82马力,"快充0.5小时,慢充10小时",新能源,14.48-14.88万,停售,https://car.autohome.com.cn/price/series-5432-0-3.html#pvareaid=2042206
